Shipping Mode,Sales per customer,Benefit per order,Order Item Quantity,Actual Delivery Status,Predicted Delivery Status,Late Delivery Risk %,Risk Category,AI Recommendation
Standard Class,58.18999863,19.67000008,1,On Time,On Time,40.46,Low Risk,Standard delivery process
Standard Class,97.95999908,-71.80999756,2,On Time,On Time,41.78,Low Risk,Standard delivery process
First Class,118.7799988,40.15000153,2,Late,Late,96.25,High Risk,Expedite shipment immediately
Standard Class,37.5,18.0,1,On Time,On Time,40.21,Low Risk,Standard delivery process
Standard Class,287.9500122,83.51000214,5,On Time,On Time,40.34,Low Risk,Standard delivery process
Standard Class,75.59999847,-2.869999886,3,On Time,On Time,39.96,Low Risk,Standard delivery process
Standard Class,56.68999863,19.27000046,1,Late,On Time,40.7,Low Risk,Standard delivery process
Standard Class,81.98999786,8.199999809,1,On Time,On Time,39.99,Low Risk,Standard delivery process
Standard Class,163.9900055,20.5,1,On Time,On Time,39.67,Low Risk,Standard delivery process
Standard Class,383.980011,120.1900024,1,On Time,On Time,40.02,Low Risk,Standard delivery process
Standard Class,327.980011,68.87999725,1,On Time,On Time,38.21,Low Risk,Standard delivery process
Standard Class,163.9900055,45.91999817,1,Late,On Time,39.51,Low Risk,Standard delivery process
Standard Class,181.0899963,47.08000183,1,Late,On Time,40.23,Low Risk,Standard delivery process
Standard Class,185.9900055,48.36000061,1,Late,On Time,39.61,Low Risk,Standard delivery process
Standard Class,225.0,-12.82999992,5,On Time,On Time,40.26,Low Risk,Standard delivery process
Second Class,15.10999966,5.489999771,1,Late,Late,83.61,High Risk,Expedite shipment immediately
First Class,118.2900009,14.78999996,1,Late,Late,95.22,High Risk,Expedite shipment immediately
Standard Class,248.9799957,69.72000122,1,On Time,On Time,40.72,Low Risk,Standard delivery process
Standard Class,399.980011,-174.3899994,1,Late,On Time,43.68,Low Risk,Standard delivery process
First Class,191.9499969,-9.600000381,5,Late,Late,96.71,High Risk,Expedite shipment immediately
Standard Class,399.980011,35.20000076,1,On Time,On Time,39.54,Low Risk,Standard delivery process
Standard Class,232.4100037,-185.9299927,5,Late,On Time,40.79,Low Risk,Standard delivery process
First Class,251.9700012,-56.68999863,3,Late,Late,96.41,High Risk,Expedite shipment immediately
Standard Class,299.9899902,22.5,1,Late,On Time,39.91,Low Risk,Standard delivery process
Second Class,331.980011,-276.5400085,1,Late,Late,81.9,High Risk,Expedite shipment immediately
Standard Class,363.980011,171.0700073,1,On Time,On Time,38.22,Low Risk,Standard delivery process
Same Day,278.9500122,136.6900024,5,On Time,Late,54.83,Medium Risk,Monitor shipment closely
Second Class,47.5,17.23999977,1,Late,Late,80.85,High Risk,Expedite shipment immediately
Second Class,149.9900055,10.5,1,Late,Late,80.21,High Risk,Expedite shipment immediately
Second Class,194.9600067,-38.99000168,5,Late,Late,80.67,High Risk,Expedite shipment immediately
Standard Class,409.9599915,192.6799927,5,On Time,On Time,42.1,Low Risk,Standard delivery process
First Class,24.23999977,10.18000031,1,Late,Late,95.43,High Risk,Expedite shipment immediately
Second Class,209.3500061,58.61999893,1,On Time,Late,81.55,High Risk,Expedite shipment immediately
Standard Class,116.1999969,39.27999878,2,On Time,On Time,40.32,Low Risk,Standard delivery process
Second Class,123.4899979,56.81000137,1,Late,Late,80.49,High Risk,Expedite shipment immediately
Standard Class,156.5700073,-109.5999985,3,Late,On Time,40.97,Low Risk,Standard delivery process
Standard Class,237.4100037,-379.8500061,5,On Time,On Time,39.12,Low Risk,Standard delivery process
Standard Class,383.980011,-81.79000092,1,Late,On Time,39.52,Low Risk,Standard delivery process
Standard Class,359.980011,14.39999962,1,Late,On Time,39.47,Low Risk,Standard delivery process
First Class,116.3700027,-2.910000086,3,Late,Late,96.88,High Risk,Expedite shipment immediately
Same Day,414.9599915,-128.2200012,5,Late,On Time,39.48,Low Risk,Standard delivery process
Standard Class,190.0,40.47000122,4,On Time,On Time,40.35,Low Risk,Standard delivery process
Second Class,327.980011,114.7900009,1,On Time,Late,81.64,High Risk,Expedite shipment immediately
Standard Class,120.8899994,58.02999878,1,Late,On Time,41.68,Low Risk,Standard delivery process
Standard Class,67.98000336,21.28000069,2,On Time,On Time,39.78,Low Risk,Standard delivery process
Standard Class,33.99000168,12.34000015,1,On Time,On Time,39.29,Low Risk,Standard delivery process
Standard Class,159.9900055,-32.0,1,Late,On Time,39.68,Low Risk,Standard delivery process
Second Class,189.9900055,55.09999847,1,Late,Late,79.67,Medium Risk,Monitor shipment closely
Standard Class,58.79000092,-102.8799973,1,Late,On Time,46.31,Low Risk,Standard delivery process
Second Class,120.0,10.43999958,3,On Time,Late,80.24,High Risk,Expedite shipment immediately
Standard Class,181.9499969,20.55999947,5,Late,On Time,42.3,Low Risk,Standard delivery process
Second Class,118.7799988,41.5699997,2,Late,Late,80.45,High Risk,Expedite shipment immediately
Standard Class,197.9199982,55.41999817,4,Late,On Time,40.99,Low Risk,Standard delivery process
Standard Class,283.4500122,-70.86000061,5,Late,On Time,41.03,Low Risk,Standard delivery process
Standard Class,179.9700012,62.99000168,3,Late,On Time,40.33,Low Risk,Standard delivery process
Standard Class,120.8899994,2.420000076,1,On Time,On Time,39.28,Low Risk,Standard delivery process
Second Class,127.3899994,31.85000038,1,Late,Late,79.36,Medium Risk,Monitor shipment closely
Standard Class,144.0,70.55999756,3,On Time,On Time,41.09,Low Risk,Standard delivery process
First Class,148.7599945,10.40999985,4,Late,Late,97.19,High Risk,Expedite shipment immediately
Second Class,239.9600067,87.11000061,4,Late,Late,80.91,High Risk,Expedite shipment immediately
Standard Class,45.5,11.82999992,1,On Time,On Time,42.07,Low Risk,Standard delivery process
Standard Class,293.980011,29.39999962,1,Late,On Time,39.96,Low Risk,Standard delivery process
Standard Class,383.980011,38.40000153,1,Late,On Time,40.71,Low Risk,Standard delivery process
Second Class,109.1900024,2.180000067,1,Late,Late,80.69,High Risk,Expedite shipment immediately
Standard Class,237.4100037,-47.47999954,5,On Time,On Time,41.0,Low Risk,Standard delivery process
Standard Class,79.95999908,10.0,4,On Time,On Time,40.56,Low Risk,Standard delivery process
Standard Class,103.9899979,52.0,1,On Time,On Time,39.66,Low Risk,Standard delivery process
Standard Class,186.0,67.51999664,4,Late,On Time,40.45,Low Risk,Standard delivery process
Standard Class,74.98999786,21.0,1,Late,On Time,43.12,Low Risk,Standard delivery process
Standard Class,235.1600037,73.61000061,4,On Time,On Time,41.31,Low Risk,Standard delivery process
Standard Class,163.7700043,16.37999916,3,On Time,On Time,40.84,Low Risk,Standard delivery process
Standard Class,250.0,25.0,5,On Time,On Time,43.72,Low Risk,Standard delivery process
Second Class,149.9900055,46.95000076,1,Late,Late,80.53,High Risk,Expedite shipment immediately
Standard Class,41.0,3.200000048,1,On Time,On Time,40.92,Low Risk,Standard delivery process
Standard Class,57.59000015,14.39999962,1,On Time,On Time,41.86,Low Risk,Standard delivery process
First Class,78.30000305,-62.63999939,3,Late,Late,96.78,High Risk,Expedite shipment immediately
Standard Class,197.9900055,24.75,1,On Time,On Time,39.32,Low Risk,Standard delivery process
First Class,105.5699997,5.28000021,3,Late,Late,97.71,High Risk,Expedite shipment immediately
First Class,44.0,-11.92000008,1,Late,Late,96.06,High Risk,Expedite shipment immediately
First Class,217.5,-40.88999939,5,Late,Late,97.42,High Risk,Expedite shipment immediately
Second Class,37.5,-8.930000305,1,Late,Late,78.38,Medium Risk,Monitor shipment closely
Standard Class,109.1900024,28.38999939,1,On Time,On Time,39.07,Low Risk,Standard delivery process
Standard Class,76.77999878,37.61999893,2,On Time,On Time,40.45,Low Risk,Standard delivery process
Second Class,103.9899979,20.79999924,1,Late,Late,80.44,High Risk,Expedite shipment immediately
Standard Class,251.9700012,5.039999962,3,On Time,On Time,39.36,Low Risk,Standard delivery process
Standard Class,193.9900055,50.43999863,1,Late,On Time,39.61,Low Risk,Standard delivery process
Standard Class,96.95999908,26.18000031,2,On Time,On Time,40.0,Low Risk,Standard delivery process
Standard Class,124.7900009,39.93000031,1,Late,On Time,40.18,Low Risk,Standard delivery process
First Class,183.4400024,-15.77999973,1,Late,Late,96.47,High Risk,Expedite shipment immediately
First Class,424.9599915,208.2299957,5,Late,Late,96.9,High Risk,Expedite shipment immediately
Standard Class,201.5700073,22.78000069,4,On Time,On Time,39.89,Low Risk,Standard delivery process
Standard Class,156.7599945,-7.840000153,4,On Time,On Time,39.93,Low Risk,Standard delivery process
First Class,199.9900055,-33.40000153,1,Late,Late,95.82,High Risk,Expedite shipment immediately
Standard Class,105.5800018,4.010000229,2,On Time,On Time,40.25,Low Risk,Standard delivery process
Standard Class,293.9500122,-391.8399963,5,On Time,On Time,40.56,Low Risk,Standard delivery process
Standard Class,49.95000076,6.239999771,5,Late,On Time,40.39,Low Risk,Standard delivery process
Standard Class,124.7900009,-83.23999786,1,Late,On Time,40.48,Low Risk,Standard delivery process
Standard Class,284.980011,11.39999962,1,On Time,On Time,41.27,Low Risk,Standard delivery process
Same Day,269.980011,132.2899933,1,On Time,Late,51.43,Medium Risk,Monitor shipment closely
Second Class,187.4299927,-14.98999977,5,Late,Late,81.58,High Risk,Expedite shipment immediately
Standard Class,263.980011,26.39999962,1,Late,On Time,42.06,Low Risk,Standard delivery process
Second Class,284.9500122,22.79999924,5,On Time,Late,81.43,High Risk,Expedite shipment immediately
Standard Class,85.0,24.64999962,2,On Time,On Time,39.48,Low Risk,Standard delivery process
Second Class,101.9800034,27.54000092,2,Late,Late,80.35,High Risk,Expedite shipment immediately
Second Class,132.0,13.19999981,3,On Time,Late,79.75,Medium Risk,Monitor shipment closely
Same Day,142.4400024,48.15000153,3,On Time,On Time,37.73,Low Risk,Standard delivery process
Second Class,201.5700073,75.58999634,4,Late,Late,81.44,High Risk,Expedite shipment immediately
Standard Class,157.5,77.18000031,3,On Time,On Time,45.06,Low Risk,Standard delivery process
Standard Class,135.0,41.84999847,3,On Time,On Time,37.62,Low Risk,Standard delivery process
First Class,44.99000168,16.32999992,1,Late,Late,96.2,High Risk,Expedite shipment immediately
Same Day,161.9700012,40.49000168,3,Late,On Time,49.79,Low Risk,Standard delivery process
Standard Class,98.95999908,33.65000153,2,On Time,On Time,40.47,Low Risk,Standard delivery process
Second Class,387.980011,100.8700027,1,Late,Late,80.76,High Risk,Expedite shipment immediately
Same Day,192.0,92.16000366,4,Late,Late,51.58,Medium Risk,Monitor shipment closely
Standard Class,93.45999908,5.889999866,1,On Time,On Time,41.22,Low Risk,Standard delivery process
First Class,195.9900055,19.60000038,1,Late,Late,95.58,High Risk,Expedite shipment immediately
Standard Class,149.9900055,-247.4900055,1,Late,On Time,40.02,Low Risk,Standard delivery process
Standard Class,103.9899979,21.94000053,1,Late,On Time,39.24,Low Risk,Standard delivery process
Standard Class,150.0,-34.95000076,3,Late,On Time,40.76,Low Risk,Standard delivery process
Second Class,103.9899979,40.56000137,1,On Time,Late,79.73,Medium Risk,Monitor shipment closely
Standard Class,148.4499969,-83.12999725,5,Late,On Time,39.28,Low Risk,Standard delivery process
Standard Class,174.5700073,61.09999847,3,On Time,On Time,39.77,Low Risk,Standard delivery process
First Class,199.9900055,52.0,1,Late,Late,95.92,High Risk,Expedite shipment immediately
Second Class,127.3899994,14.39999962,1,Late,Late,80.06,High Risk,Expedite shipment immediately
Standard Class,263.9599915,98.98000336,5,Late,On Time,28.83,Low Risk,Standard delivery process
Standard Class,113.0899963,29.39999962,1,On Time,On Time,40.31,Low Risk,Standard delivery process
Second Class,351.980011,74.97000122,1,On Time,Late,81.24,High Risk,Expedite shipment immediately
Standard Class,113.0899963,-45.24000168,1,On Time,On Time,40.48,Low Risk,Standard delivery process
Standard Class,167.9900055,56.77999878,1,On Time,On Time,39.9,Low Risk,Standard delivery process
Standard Class,399.9599915,-319.9700012,5,On Time,On Time,39.74,Low Risk,Standard delivery process
Standard Class,263.980011,100.3099976,1,On Time,On Time,40.26,Low Risk,Standard delivery process
Standard Class,52.79000092,-2.960000038,1,Late,On Time,40.17,Low Risk,Standard delivery process
Second Class,103.9899979,26.0,1,On Time,Late,80.45,High Risk,Expedite shipment immediately
Second Class,294.980011,17.70000076,1,Late,Late,82.77,High Risk,Expedite shipment immediately
Standard Class,57.59000015,-40.31000137,1,Late,On Time,40.75,Low Risk,Standard delivery process
Second Class,197.9900055,89.09999847,1,On Time,Late,80.4,High Risk,Expedite shipment immediately
First Class,44.97999954,22.04000092,1,Late,Late,95.99,High Risk,Expedite shipment immediately
Standard Class,110.5,40.11000061,2,On Time,On Time,33.45,Low Risk,Standard delivery process
Standard Class,113.3700027,34.00999832,3,Late,On Time,41.25,Low Risk,Standard delivery process
Standard Class,120.0,10.56000042,3,On Time,On Time,40.7,Low Risk,Standard delivery process
Standard Class,347.980011,80.04000092,1,On Time,On Time,40.85,Low Risk,Standard delivery process
Standard Class,183.4499969,-105.4800034,1,On Time,On Time,45.06,Low Risk,Standard delivery process
First Class,159.9900055,-36.0,1,Late,Late,96.2,High Risk,Expedite shipment immediately
Standard Class,56.99000168,26.79000092,1,Late,On Time,41.62,Low Risk,Standard delivery process
Standard Class,215.8200073,71.22000122,1,On Time,On Time,43.99,Low Risk,Standard delivery process
Standard Class,227.5,-39.81000137,5,On Time,On Time,41.51,Low Risk,Standard delivery process
Standard Class,46.47999954,22.78000069,1,On Time,On Time,38.33,Low Risk,Standard delivery process
Standard Class,123.4899979,4.690000057,1,On Time,On Time,39.96,Low Risk,Standard delivery process
Standard Class,95.98000336,-18.04000092,2,On Time,On Time,40.61,Low Risk,Standard delivery process
Standard Class,383.980011,188.1499939,1,On Time,On Time,43.98,Low Risk,Standard delivery process
Standard Class,127.3899994,61.15000153,1,Late,On Time,40.9,Low Risk,Standard delivery process
Standard Class,194.2400055,3.880000114,1,Late,On Time,42.27,Low Risk,Standard delivery process
Standard Class,142.4400024,14.23999977,3,On Time,On Time,41.16,Low Risk,Standard delivery process
Second Class,272.980011,125.5699997,1,Late,Late,79.23,Medium Risk,Monitor shipment closely
Standard Class,99.58000183,49.79000092,3,Late,On Time,42.32,Low Risk,Standard delivery process
Second Class,284.9500122,92.61000061,5,On Time,Late,81.58,High Risk,Expedite shipment immediately
Standard Class,175.9900055,13.19999981,1,Late,On Time,41.22,Low Risk,Standard delivery process
Standard Class,169.9900055,57.45999908,1,Late,On Time,40.7,Low Risk,Standard delivery process
Second Class,195.9499969,71.12999725,5,Late,Late,81.23,High Risk,Expedite shipment immediately
Standard Class,371.980011,93.0,1,On Time,On Time,40.41,Low Risk,Standard delivery process
Standard Class,52.79000092,24.80999947,1,Late,On Time,40.32,Low Risk,Standard delivery process
Standard Class,179.9900055,48.59999847,1,On Time,On Time,40.04,Low Risk,Standard delivery process
Standard Class,296.980011,130.6699982,1,Late,On Time,41.77,Low Risk,Standard delivery process
Standard Class,283.480011,95.8199997,1,On Time,On Time,39.41,Low Risk,Standard delivery process
Second Class,331.980011,3.319999933,1,On Time,Late,81.1,High Risk,Expedite shipment immediately
Same Day,170.9700012,-136.7799988,3,On Time,Late,56.63,Medium Risk,Monitor shipment closely
Second Class,230.1199951,103.5500031,1,Late,Late,82.46,High Risk,Expedite shipment immediately
Standard Class,351.980011,-140.7899933,1,Late,On Time,40.71,Low Risk,Standard delivery process
Standard Class,128.6900024,63.06000137,1,On Time,On Time,39.74,Low Risk,Standard delivery process
First Class,293.980011,-199.9100037,1,Late,Late,97.0,High Risk,Expedite shipment immediately
First Class,269.980011,94.48999786,1,Late,Late,95.83,High Risk,Expedite shipment immediately
Second Class,123.4899979,32.11000061,1,Late,Late,82.4,High Risk,Expedite shipment immediately
Standard Class,124.4499969,58.49000168,3,On Time,On Time,40.69,Low Risk,Standard delivery process
Standard Class,173.9900055,41.75999832,1,On Time,On Time,39.93,Low Risk,Standard delivery process
Standard Class,293.980011,76.43000031,1,Late,On Time,39.86,Low Risk,Standard delivery process
Standard Class,226.7599945,-158.7299957,4,Late,On Time,41.96,Low Risk,Standard delivery process
Second Class,208.7700043,98.12000275,4,Late,Late,80.68,High Risk,Expedite shipment immediately
Standard Class,324.4700012,155.75,1,Late,On Time,41.47,Low Risk,Standard delivery process
First Class,399.9599915,107.9899979,5,Late,Late,96.5,High Risk,Expedite shipment immediately
Standard Class,23.23999977,11.15999985,1,Late,On Time,41.83,Low Risk,Standard delivery process
Second Class,40.0,6.400000095,1,On Time,Late,80.94,High Risk,Expedite shipment immediately
Standard Class,132.0,-79.19999695,5,On Time,On Time,40.4,Low Risk,Standard delivery process
First Class,245.9799957,76.25,1,Late,Late,96.31,High Risk,Expedite shipment immediately
Second Class,112.4599991,2.25,5,Late,Late,80.34,High Risk,Expedite shipment immediately
Standard Class,130.4499969,42.40000153,3,Late,On Time,40.14,Low Risk,Standard delivery process
First Class,57.59000015,16.70000076,1,Late,Late,95.85,High Risk,Expedite shipment immediately
Standard Class,126.0899963,45.77000046,1,On Time,On Time,39.64,Low Risk,Standard delivery process
Second Class,116.9899979,33.68999863,1,Late,Late,81.07,High Risk,Expedite shipment immediately
First Class,339.980011,152.9900055,1,Late,Late,96.76,High Risk,Expedite shipment immediately
Standard Class,134.9799957,11.88000011,3,On Time,On Time,40.16,Low Risk,Standard delivery process
Standard Class,163.9299927,67.20999908,4,On Time,On Time,39.96,Low Risk,Standard delivery process
First Class,251.9799957,85.16999817,1,Late,Late,96.02,High Risk,Expedite shipment immediately
Standard Class,293.9500122,79.37000275,5,Late,On Time,39.68,Low Risk,Standard delivery process
Standard Class,399.9599915,99.98999786,4,Late,On Time,38.3,Low Risk,Standard delivery process
First Class,245.9600067,122.9800034,5,Late,Late,96.69,High Risk,Expedite shipment immediately
Standard Class,149.9900055,48.75,1,Late,On Time,40.05,Low Risk,Standard delivery process
Same Day,67.47000122,16.87000084,3,Late,Late,53.94,Medium Risk,Monitor shipment closely
Second Class,248.9600067,77.91999817,5,Late,Late,81.73,High Risk,Expedite shipment immediately
Standard Class,118.2900009,11.82999992,1,On Time,On Time,39.83,Low Risk,Standard delivery process
Standard Class,145.5,-72.75,5,Late,On Time,42.0,Low Risk,Standard delivery process
Standard Class,9.479999542,0.709999979,1,Late,On Time,45.18,Low Risk,Standard delivery process
First Class,299.980011,143.9900055,1,Late,Late,95.5,High Risk,Expedite shipment immediately
First Class,331.980011,103.9100037,1,Late,Late,96.02,High Risk,Expedite shipment immediately
Standard Class,163.7700043,45.86000061,3,Late,On Time,40.11,Low Risk,Standard delivery process
Standard Class,141.75,53.15999985,3,Late,On Time,40.75,Low Risk,Standard delivery process
Standard Class,83.0,8.300000191,2,Late,On Time,40.22,Low Risk,Standard delivery process
Second Class,82.98999786,36.52000046,1,Late,Late,81.04,High Risk,Expedite shipment immediately
Standard Class,283.480011,141.7400055,1,On Time,On Time,38.86,Low Risk,Standard delivery process
Same Day,248.9799957,114.5299988,1,Late,On Time,44.41,Low Risk,Standard delivery process
First Class,146.9400024,45.99000168,3,Late,Late,96.21,High Risk,Expedite shipment immediately
Standard Class,97.95999908,48.0,2,On Time,On Time,40.78,Low Risk,Standard delivery process
Standard Class,179.1000061,68.05999756,1,Late,On Time,43.98,Low Risk,Standard delivery process
Standard Class,472.4500122,122.8399963,5,Late,On Time,39.51,Low Risk,Standard delivery process
Standard Class,97.48999786,46.79999924,1,On Time,On Time,39.18,Low Risk,Standard delivery process
Standard Class,142.4400024,64.09999847,3,Late,On Time,41.74,Low Risk,Standard delivery process
Standard Class,237.4100037,68.84999847,5,Late,On Time,40.46,Low Risk,Standard delivery process
Standard Class,189.6600037,51.20999908,1,On Time,On Time,39.6,Low Risk,Standard delivery process
Standard Class,346.1099854,93.44999695,1,On Time,On Time,44.33,Low Risk,Standard delivery process
Standard Class,163.7700043,-9.659999847,3,On Time,On Time,38.83,Low Risk,Standard delivery process
Standard Class,185.9900055,65.09999847,1,Late,On Time,40.1,Low Risk,Standard delivery process
Standard Class,224.9900055,28.12000084,1,Late,On Time,40.58,Low Risk,Standard delivery process
Second Class,131.9499969,38.25999832,3,Late,Late,81.08,High Risk,Expedite shipment immediately
Standard Class,327.980011,-32.79999924,1,On Time,On Time,41.18,Low Risk,Standard delivery process
Standard Class,106.5899963,30.90999985,1,On Time,On Time,40.36,Low Risk,Standard delivery process
Standard Class,97.48999786,25.35000038,1,Late,On Time,42.04,Low Risk,Standard delivery process
Standard Class,115.1699982,6.909999847,3,On Time,On Time,39.07,Low Risk,Standard delivery process
Standard Class,104.3799973,29.22999954,2,Late,On Time,39.87,Low Risk,Standard delivery process
Standard Class,172.7700043,81.19999695,3,On Time,On Time,43.42,Low Risk,Standard delivery process
Standard Class,186.0,65.09999847,4,On Time,On Time,41.1,Low Risk,Standard delivery process
Standard Class,81.98999786,30.75,1,On Time,On Time,38.67,Low Risk,Standard delivery process
Second Class,195.9199982,3.920000076,4,Late,Late,79.48,Medium Risk,Monitor shipment closely
Standard Class,179.9900055,13.5,1,Late,On Time,40.43,Low Risk,Standard delivery process
Second Class,128.6900024,63.06000137,1,Late,Late,80.01,High Risk,Expedite shipment immediately
Second Class,175.9900055,59.49000168,1,Late,Late,81.26,High Risk,Expedite shipment immediately
Standard Class,210.0,67.19999695,5,Late,On Time,40.46,Low Risk,Standard delivery process
Second Class,283.480011,138.9100037,1,Late,Late,77.81,Medium Risk,Monitor shipment closely
Standard Class,379.9599915,163.3800049,4,On Time,On Time,39.81,Low Risk,Standard delivery process
Standard Class,347.980011,90.48000336,1,On Time,On Time,40.73,Low Risk,Standard delivery process
First Class,278.980011,83.69000244,1,Late,Late,96.02,High Risk,Expedite shipment immediately
First Class,191.9900055,62.40000153,1,Late,Late,96.97,High Risk,Expedite shipment immediately
Standard Class,185.9900055,65.09999847,1,On Time,On Time,46.02,Low Risk,Standard delivery process
First Class,27.29000092,0.550000012,1,Late,Late,96.09,High Risk,Expedite shipment immediately
First Class,74.97000122,34.49000168,2,Late,Late,95.92,High Risk,Expedite shipment immediately
Standard Class,242.5,104.2799988,5,On Time,On Time,39.89,Low Risk,Standard delivery process
Second Class,290.9500122,21.8199997,5,Late,Late,78.07,Medium Risk,Monitor shipment closely
Same Day,224.9900055,-12.60000038,1,On Time,Late,56.06,Medium Risk,Monitor shipment closely
Standard Class,127.5,9.56000042,3,On Time,On Time,38.72,Low Risk,Standard delivery process
Standard Class,335.980011,13.43999958,1,On Time,On Time,39.85,Low Risk,Standard delivery process
First Class,163.9900055,16.39999962,1,Late,Late,96.13,High Risk,Expedite shipment immediately
Standard Class,200.0,35.0,5,Late,On Time,40.97,Low Risk,Standard delivery process
Standard Class,124.7900009,-26.57999992,1,On Time,On Time,39.68,Low Risk,Standard delivery process
Same Day,194.0,34.91999817,4,On Time,On Time,49.75,Low Risk,Standard delivery process
Same Day,245.9799957,-196.7899933,1,On Time,Late,50.46,Medium Risk,Monitor shipment closely
Second Class,165.9299927,-10.44999981,4,On Time,Late,79.14,Medium Risk,Monitor shipment closely
Standard Class,163.7700043,73.69999695,3,On Time,On Time,39.85,Low Risk,Standard delivery process
Standard Class,95.95999908,8.43999958,2,Late,On Time,42.75,Low Risk,Standard delivery process
Standard Class,263.980011,73.91999817,1,Late,On Time,41.05,Low Risk,Standard delivery process
Standard Class,35.18000031,15.13000011,2,Late,On Time,42.05,Low Risk,Standard delivery process
Second Class,129.9900055,35.09999847,1,On Time,Late,80.1,High Risk,Expedite shipment immediately
Standard Class,59.38999939,7.420000076,1,Late,On Time,41.98,Low Risk,Standard delivery process
Standard Class,175.9900055,37.49000168,1,On Time,On Time,39.6,Low Risk,Standard delivery process
Standard Class,97.48999786,40.95000076,1,On Time,On Time,38.26,Low Risk,Standard delivery process
Standard Class,119.9700012,52.79000092,4,On Time,On Time,42.42,Low Risk,Standard delivery process
First Class,260.980011,93.94999695,1,Late,Late,96.02,High Risk,Expedite shipment immediately
Standard Class,176.3699951,49.38000107,3,Late,On Time,40.08,Low Risk,Standard delivery process
First Class,163.9600067,-16.39999962,5,Late,Late,97.49,High Risk,Expedite shipment immediately
Standard Class,97.48999786,31.69000053,1,Late,On Time,40.84,Low Risk,Standard delivery process
Second Class,244.8999939,-12.25,5,Late,Late,80.7,High Risk,Expedite shipment immediately
Standard Class,107.8899994,33.77000046,1,Late,On Time,39.9,Low Risk,Standard delivery process
Standard Class,239.9799957,110.3899994,1,Late,On Time,41.46,Low Risk,Standard delivery process
Same Day,521.9299927,182.6699982,1,On Time,On Time,38.48,Low Risk,Standard delivery process
Second Class,126.0899963,32.77999878,1,Late,Late,80.76,High Risk,Expedite shipment immediately
Standard Class,125.9499969,39.41999817,3,Late,On Time,41.97,Low Risk,Standard delivery process
Standard Class,113.9800034,-82.63999939,2,Late,On Time,42.44,Low Risk,Standard delivery process
Second Class,399.9599915,191.9799957,5,On Time,Late,81.09,High Risk,Expedite shipment immediately
Standard Class,22.0,3.74000001,1,Late,On Time,37.53,Low Risk,Standard delivery process
Standard Class,147.0,18.37999916,3,On Time,On Time,40.45,Low Risk,Standard delivery process
Standard Class,33.99000168,2.99000001,1,Late,On Time,46.73,Low Risk,Standard delivery process
First Class,237.5,68.87999725,5,Late,Late,96.19,High Risk,Expedite shipment immediately
Standard Class,175.9900055,17.60000038,1,On Time,On Time,39.25,Low Risk,Standard delivery process
Standard Class,143.9700012,18.0,4,On Time,On Time,40.0,Low Risk,Standard delivery process
Second Class,189.9900055,66.5,1,On Time,Late,80.04,High Risk,Expedite shipment immediately
Standard Class,210.0,76.23000336,5,Late,On Time,39.38,Low Risk,Standard delivery process
